county,year,month,births,Pop2010
"Washington County, MD",2017,July,72,147430
"Washington County, MD",2017,August,73,147430
"Washington County, MD",2017,September,57,147430
"Washington County, MD",2017,October,49,147430
"Washington County, MD",2017,November,55,147430
"Washington County, MD",2017,December,53,147430
"Washington County, MD",2018,January,54,147430
"Washington County, MD",2018,February,44,147430
"Washington County, MD",2018,March,47,147430
"Washington County, MD",2018,April,52,147430
"Washington County, MD",2018,May,45,147430
"Washington County, MD",2018,June,59,147430
"Washington County, MD",2018,July,50,147430
"Washington County, MD",2018,August,57,147430
"Washington County, MD",2018,September,70,147430
"Washington County, MD",2018,October,62,147430
"Washington County, MD",2018,November,64,147430
"Washington County, MD",2018,December,55,147430
"Washington County, MD",2019,January,72,147430
"Washington County, MD",2019,February,58,147430
"Washington County, MD",2019,March,51,147430
"Washington County, MD",2019,April,57,147430
"Washington County, MD",2019,May,55,147430
"Washington County, MD",2019,June,58,147430
"Washington County, MD",2019,July,52,147430
"Washington County, MD",2019,August,57,147430
"Washington County, MD",2019,September,71,147430
"Washington County, MD",2019,October,68,147430
"Washington County, MD",2019,November,47,147430
"Washington County, MD",2019,December,48,147430
"Eaton County, MI",2016,January,44,107759
"Eaton County, MI",2016,February,31,107759
"Eaton County, MI",2016,March,54,107759
"Eaton County, MI",2016,April,38,107759
"Eaton County, MI",2016,May,50,107759
"Eaton County, MI",2016,June,39,107759
"Eaton County, MI",2016,July,36,107759
"Eaton County, MI",2016,August,35,107759
"Eaton County, MI",2016,September,44,107759
"Eaton County, MI",2016,October,46,107759
"Eaton County, MI",2016,November,44,107759
"Eaton County, MI",2016,December,39,107759
"Eaton County, MI",2017,January,34,107759
"Eaton County, MI",2017,February,35,107759
"Eaton County, MI",2017,March,46,107759
"Eaton County, MI",2017,April,44,107759
"Eaton County, MI",2017,May,42,107759
"Eaton County, MI",2017,June,41,107759
"Eaton County, MI",2017,July,39,107759
"Eaton County, MI",2017,August,37,107759
"Eaton County, MI",2017,September,37,107759
